sentence,label
please remove fishing from my calendar for soccer,calendar_update
clear my calendar for tomorrow,calendar_update
what's the caloric content in a bowl of rice crispies with milk,calories
what is the caloric value of a cookie,calories
how many calories on average are in a hot dog,calories
calorie count of cheetos,calories
how many calories are in vanilla ice cream,calories
give me expected number of calories in a breakfast burrito,calories
what's the amount of calories in a cheesy omelette,calories
what is the calorie content of a small bag of lay's potato chips,calories
looks up the calories in cheetos,calories
how many calories are in a can of coke,calories
can you switch off,cancel
please cancel the input,cancel
can you please cancel,cancel
please refrain from carrying out the current task,cancel
mute,cancel
could you stop talking for a second,cancel
abort running program,cancel
quit what you are doing,cancel
refrain from talking,cancel
discontinue your current task,cancel
something's come up so i need to cancel my reservation so now,cancel_reservation
cancel my reservation for chris at jp field's,cancel_reservation
cancel my reservation for 3 at carlos jr,cancel_reservation
remove my reservation at outback for timmy,cancel_reservation
"i made a reservation for chris at tony's, please cancel it",cancel_reservation
joe and i are to cancel the reservation at zephers now,cancel_reservation
can i cancel my reservations,cancel_reservation
cancel my reservation for me,cancel_reservation
can you cancel my reservation for dinner tomorrow,cancel_reservation
"i don't need my reservation, can you cancel it",cancel_reservation
i want to rent a car in boston for march 2 until march 4,car_rental
"in nashville, i need a rental car booked",car_rental
i want to rent a bmw suv for dallas from march 2 to 6th,car_rental
are there any places nearby i can rent a car at,car_rental
"can you see if i can rent a car from dallas on the dates of march 1, 2019 to march 3, 2019",car_rental
find me a rental car from 3/6 - 3/9 in port charles,car_rental
"id like a car rental between january 1st to the 3rd in denver, id like a ford",car_rental
what car rental choices are there in calgary,car_rental
make sure i can rent one car out of chicago from january 2 to january 5,car_rental
reserve a car rental for denver colorado for a ford between january 1st through 3rd,car_rental
i was trying to buy qtips at walmart and my card got declined,card_declined
"my card was declined at the store yesterday, what happened",card_declined
can you tell me why my card was declined yesterday,card_declined
my card got declined at target while buying a tv,card_declined
i was at walmart when my card was declined i was only trying to buy some candy,card_declined
can you tell me why my card was declined,card_declined
why did my card not get accepted then,card_declined
please tell me why walgreen's wouldn't take my card,card_declined
i was at safeway trying to buy groceries and my card got declined,card_declined
please help me figure out why my card was declined yesterday,card_declined
what are the carry-on limits for flying domestically with delta,carry_on
"from a flight from muscat to qatar, how many carry ons can i take",carry_on
"when taking a flight with lion to singapore, how many carry ons are allowed",carry_on
which rules does delta have for carry on,carry_on
"when taking a flight with porter to toronto, how many carry ons can i take",carry_on
do i need to pay for delta carry on,carry_on
i need to know the carry on policy for american airlines flights,carry_on
how many carry ons are allowed on a flight with wow to iceland,carry_on
what is the carry on limit,carry_on
how many carry ons can i take on a flight with virgin airlines to vancouver bc,carry_on
can i get you to talk like a pouty english guy,change_accent
i want to change to male voice,change_accent
please use male voice instead,change_accent
i would prefer your voice to be male,change_accent
use your male voice,change_accent
use a male voice instead,change_accent
can you change the way you talk to a male british voice,change_accent
switch to british male accent,change_accent
set to female voice,change_accent
i want to hear a male british accent,change_accent
i want to start calling you bob,change_ai_name
your name from this point forward is george,change_ai_name
i want to change the name i call you to juan,change_ai_name
i want to update you name now,change_ai_name
i would like to change your name to eli,change_ai_name
can i call you something else,change_ai_name
change your name setting to plato,change_ai_name
i need to change your name to ben,change_ai_name
"if i may, i'd like to call you slave",change_ai_name
i want to change your name to another name,change_ai_name
can you talk to me in chinese,change_language
"from now on, i want you to answer me using japanese",change_language
i need to change my speaking to spanish,change_language
alter your language to french,change_language
set your language setting to english,change_language
is there an option to speak only in mandarin,change_language
change the language you're using to american english,change_language
how can we start communicating in french rather than english,change_language
change your language,change_language
please change your language setting to spanish,change_language
can you speak faster please,change_speed
will you speak more rapidly,change_speed
where do i find instructions on how to speed up voice replies,change_speed
can you please talk slower,change_speed
speak slower,change_speed
i'd like you to speak a bit slower,change_speed
speed up your speech,change_speed
i want you to speak more slowly to me,change_speed
speak at a slower rate,change_speed
"speak more quickly, please",change_speed
can you call me something else,change_user_name
i prefer to go by brad,change_user_name
call me frank,change_user_name
i go by brad,change_user_name
i go by the name jim,change_user_name
my name's bob,change_user_name
just call me dennis,change_user_name
i go by stefan,change_user_name
i'd like you to call me something different,change_user_name
they call me john,change_user_name
please increase the volume to 4,change_volume
turn your voice box down,change_volume
make the sound of my speaker greater,change_volume
i want volume set to 4,change_volume
set volume higher,change_volume
i want to increase your volume,change_volume
raise the volume to 4 please,change_volume
turn volume to the number 4 setting,change_volume
you must increase the volume to 4 please,change_volume
can you increase the speaker volume,change_volume
please confirm my reservation for april 1st at 9am,confirm_reservation
make sure my reservation is happening for john at olive garden,confirm_reservation
does taco house have a reservation for jean,confirm_reservation
i would like for you to confirm my reservation for red robin at 5 pm,confirm_reservation
i would like you to confirm my reservation for next saturday at 11 am,confirm_reservation
i need you to confirm my reservation for outback steakhouse at 6,confirm_reservation
please confirm my reservation for morton's at 5 pm,confirm_reservation
can you you confirm my reservation for jean at taco house,confirm_reservation
will you confirm my reservation for red robin at 10,confirm_reservation
i'd like for you to make sure my reservation is there for charlie's under jack,confirm_reservation
how long do you need to bake chicken for it to be safe to eat,cook_time
how long do i put the casserole in,cook_time
how long do i cook pork,cook_time
how long should i wait before i can bake bread with homemade dough,cook_time
how long should i cook a glazed ham,cook_time
how long does it take pork to cook,cook_time
how long is it acceptable to carmelize onions,cook_time
how long to cook a frozen pizza,cook_time
how long do you bake a cake,cook_time
how long am i supposed to cook pork loin,cook_time
the credit limit on my account is how much,credit_limit
how high is my credit limit for my navy federal card,credit_limit
can i please know the credit limit for my citibank card,credit_limit
what is my credit limit,credit_limit
what is the credit limit for my navy federal card,credit_limit
how is my credit limit,credit_limit
what's the credit limit on my discovery card,credit_limit
please check my credit limit on my visa,credit_limit
what's my limit on my amex card,credit_limit
how high is my credit limit for my citigroup card,credit_limit
i'd like to increase my credit spending limit to 500 dollars,credit_limit_change
can i increase the credit limit for my western union credit card,credit_limit_change
can i increase my credit limit to 800 dollars,credit_limit_change
can i get a higher credit limit on my american express,credit_limit_change
can i increase the credit limit for my wells fargo credit card,credit_limit_change
tell me if i can get a higher limit on my visa,credit_limit_change
i want to change my credit limit,credit_limit_change
"can you increase my credit limit to $7,500",credit_limit_change
"i need to increase my credit limit for my visa credit card, can you assist me",credit_limit_change
can i increase the credit limit for my navy federal card,credit_limit_change
how can i find my credit rating,credit_score
i want to find out what my credit score is,credit_score
find my credit score and tell it to me,credit_score
will you tell me my credit score,credit_score
can you tell me my credit score,credit_score
help me locate my credit score,credit_score
please get my credit score,credit_score
what's my credit score,credit_score
what is the process of finding my credit score,credit_score
let me understand my credit rating,credit_score
would you please tell me my current gps coordinates,current_location
please give me my gps coordinates,current_location
what are my gps coordinates at this location,current_location
how will i find my current location,current_location
where am i located,current_location
tell me my current gps coordinates,current_location
how can i find my current location,current_location
i need to know my location,current_location
display my location on a map,current_location
look me up on the map,current_location
i accidentally put my credit card in the shredder,damaged_card
"my phone was too close to my card and demagnetized it, how can i report this",damaged_card
"my card split in half, can i report it",damaged_card
"my card needs replaced, i accidentally scraped it",damaged_card
my card doesn't work anymore,damaged_card
my damage card is not working,damaged_card
my card is cracked and i want to report it,damaged_card
"i creased my card today, contact the bank",damaged_card
"the magnetic strip on my card is scratched, let the card company know",damaged_card
it seems i can't use my card since it has been damaged,damaged_card
the date tomorrow is what,date
what day of the month is it,date
what will be the date tomorrow,date
what date is it,date
can you tell me tomorrow's date,date
when will it be in 10 days,date
tell me what date it is please,date
show me the date,date
i need to know today's date please,date
i would like to know what today's date is,date
what is the meaning of realism,definition
find out what the word abrogate means for me,definition
what is the definition of didactic,definition
what is the definition of altruism,definition
definition of affiliate is what,definition
what's the meaning of a fortnight,definition
what is the definition of zesty,definition
what is stupedous meant,definition
define zesty,definition
find the meaning of qat,definition
what is needed to set up direct deposit,direct_deposit
how do i get direct deposit for my paycheck,direct_deposit
how do i go about setting up direct deposit,direct_deposit
how do i get paychecks put directly in my sunflower savings account,direct_deposit
is there a specific way to set up direct deposit,direct_deposit
search google for how to set up direct deposit,direct_deposit
set up payroll direct deposit to my checking account,direct_deposit
i want to set direct deposit,direct_deposit
can you walk me through setting up direct deposit,direct_deposit
"can you teach me how to set up direct deposit, or show me who can",direct_deposit
what steps do i need to take to take a bus to detroit,directions
i need to know where the nearest place that has mountain dew is,directions
how do i get to the college by bus,directions
please tell me the subway station nearest to madison square garden in new york,directions
can you tell me the location of the nearest bank,directions
could you tell me how to get to the statue of liberty by bus,directions
is there a tire repair place near the post office,directions
is there a starbucks close to home,directions
i need to know how to get to target by bus,directions
"from here, how do i get to the statue of liberty by bus",directions
"how long before i get to dallas , in time, not miles",distance
"so to go to brooklyn, it would take me how long again",distance
how long does it take to get to virginia by bus,distance
how much time does it take to get to levi stadium from san jose airport,distance
does it take a long time to get to the airport in la,distance
approximately how much time will it take to get to tod's in minutes,distance
how long does it take to get to applebees in new york,distance
"from here, i take this bus to go to brooklyn and how long is the commute",distance
how miles does it take to get to red lobster from my current location,distance
how long is the ride to phoenix,distance
what type of pet do you have,do_you_have_pets
which food do you give your pets,do_you_have_pets
can you tell me the types of pets you have,do_you_have_pets
would you say you're a person who likes cats or dogs more,do_you_have_pets
would you say that you are now a pet owner,do_you_have_pets
you have pets of what kind,do_you_have_pets
are you currently a pet owner,do_you_have_pets
how would you explain the pets you own,do_you_have_pets
would you let me know if you are a cat or dog person,do_you_have_pets
can you tell me if you have any pets,do_you_have_pets
tell me the exchange rate between rubles and dollars,exchange_rate
i need the exchange rate between pounds and us dollars,exchange_rate
what is 5 in yen and rubles,exchange_rate
"if i have 20,000 yen, how much is that in usd",exchange_rate
how much cad can i get with my one usd,exchange_rate
what is the exchange rate for canadian dollars to us dollars,exchange_rate
how many dollars can i exchange for 75 euros,exchange_rate
let me know what the exchange rate between dollars and pesos is,exchange_rate
what is the yen worth in terms of the peso,exchange_rate
what is the conversion for 500 dollars to pesos,exchange_rate
is my credit card expiration date approaching,expiration_date
my card expires in what month,expiration_date
what is the expiration date of my current card,expiration_date
when is my credit due to expire,expiration_date
when my credit card is going to expire,expiration_date
is my card set to expire soon,expiration_date
help me figure out when exactly my credit card will be expiring,expiration_date
when should i expect my visa to expire,expiration_date
could you look up the date that my credit card is set to expire,expiration_date
how long before my amex card expires,expiration_date
i can't find my phone,find_phone
i would like to know where my phone is,find_phone
please tell me where my phone is,find_phone
please help me find my cellphone,find_phone
can you call my cellphone,find_phone
misplaced my phone,find_phone
help me locate my phone,find_phone
i need help figuring out where my phone is,find_phone
can you locate my phone,find_phone
are you able to track a phone,find_phone
whats the status of my frontier flight,flight_status
look up when my flight is set to start boarding,flight_status
is there any news on flight dl123,flight_status
tell me what time my flight ought to be landing,flight_status
i need to know the status of flight dl123,flight_status
when will we begin to board my scheduled flight,flight_status
when does boarding for my flight begin,flight_status
when should the flight land,flight_status
whats the update on flight dl123,flight_status
i wish to know when my flight will land,flight_status
"please flip a coin for me, tails i win",flip_coin
lets go with heads or tails,flip_coin
"filp a coin, i call heads",flip_coin
spin a coin,flip_coin
"flip that coin please, i choose heads",flip_coin
flip a coin one time,flip_coin
please flip a coin i select tails,flip_coin
heads or tails please,flip_coin
flip a coin and tell me if its heads or tails,flip_coin
"flip a coin, you win with heads",flip_coin
i need to know how long can i keep pizza in the freezer for before it goes bad,food_last
i got to know how long can i keep pizza in the freezer for before it goes bad,food_last
"so i have had pizza in the fridge since monday, so is it safe to eat",food_last
ribs can stay in the fridge for how long before they turn,food_last
how long does bread last,food_last
what's the expiration for steak,food_last
what is the length of time i can leave pork in the fridge,food_last
what's the shelf life of guacamole in the fridge,food_last
how long can i leave tuna casserole in the fridge,food_last
am i good to eat this burger from the fridge that i got two mondays ago,food_last
can you please freeze my bank account,freeze_account
pause my account,freeze_account
"could you freeze my account, please",freeze_account
please make sure my account is frozen,freeze_account
put a hold on my bank account please,freeze_account
please pause my banking actions,freeze_account
please freeze my bank account,freeze_account
please freeze my account,freeze_account
"can you freeze my account, please",freeze_account
place a block on my capital one account right now,freeze_account
what's a cool and interesting thing about dogs,fun_fact
"trivia about something,tell me some",fun_fact
i want to learn a neat fact about black holes,fun_fact
tell me something interesting about outer space,fun_fact
tell me a fun fact about mt everest,fun_fact
can you tell me a fun fact about elephants,fun_fact
i want to hear a fun fact about american presidents,fun_fact
what's a fun fact about elephants,fun_fact
tell me something interesting about sperm whales,fun_fact
what's an interesting fact about flamingos,fun_fact
am i low on gas,gas
do i have enough fuel to get to tampa,gas
how much gas is in my tank,gas
what do i have left in the gas tank,gas
what is the amount of gas i have,gas
is my gas tank full,gas
how many gallons do i have left,gas
am i running low on gas,gas
how does my gas tank look,gas
what's left in my gas tank,gas
tell me what kind of gas this car uses,gas_type
tell me the kind of fuel that my vehicle operates on,gas_type
i need to know what kind of fuel this car needs,gas_type
can i use any fuel in my car,gas_type
what kind of gas does this car use,gas_type
what kind of gas do i put in my car,gas_type
what type of gas does this car take,gas_type
what gas is needed for the car,gas_type
will this car run on the cheaper gas,gas_type
what kind of gas should go in this car,gas_type
thanks for talking to me,goodbye
see you in a while,goodbye
i'm saying goodbye now,goodbye
good night,goodbye
"great chat, talk to you later",goodbye
i have to go ai goodbye,goodbye
have a good one,goodbye
buhbye,goodbye
goodbye!,goodbye
"nice talking again, bye",goodbye
good to see you,greeting
"hello, friend",greeting
how have you been doing,greeting
are you okay right now,greeting
hola,greeting
what do you feel like doing,greeting
how is my ai doing,greeting
how are you this day,greeting
hey there!,greeting
hi how are you,greeting
is that restaurant crowded during dinner,how_busy
can you tell me how busy chipotle will be at nine tonight,how_busy
how busy is imanas tei at 7 dinner,how_busy
how busy will golden corral be at 7:30 tonight,how_busy
find out how busy ihop usually is around 5 pm,how_busy
how long is the wait at imanas,how_busy
how long will i have to wait before being seated at the cheese cake factory,how_busy
"at 5:30 pm, how busy can i expect olive garden to be",how_busy
i would like to find out if macaroni grill will be busy around 7:00 pm,how_busy
how busy is imanas at 6,how_busy
what's your age siri,how_old_are_you
how many years has al been on earth,how_old_are_you
how long have you been around,how_old_are_you
how long have you been here,how_old_are_you
tell me how old you are,how_old_are_you
"ai, how many months old are you",how_old_are_you
when was your birth,how_old_are_you
how old are you today,how_old_are_you
"how long have you been around, ai",how_old_are_you
what is your creation date,how_old_are_you
help me build my credit score by showing me some ways on how to,improve_credit_score
tell me ways to improve my credit score,improve_credit_score
how can i build my credit,improve_credit_score
i'd like to find ways to improve my credit score,improve_credit_score
steps to raise my credit score,improve_credit_score
how to keep my credit from dropping,improve_credit_score
give me some ways to build my credit score,improve_credit_score
how to improve my credit score,improve_credit_score
how to build up my credit score,improve_credit_score
what are some ways to keep my credit score up,improve_credit_score
how much do you make,income
what do you make in a year,income
what is my salary,income
what is my hourly rate,income
calculate how much i earn from my job,income
how much money did i make,income
how much have i earned this week,income
what's my income,income
i need you to tell me my salary,income
tell me about my income this week,income
can i substitute ketchup for mustard,ingredient_substitution
can i swap sugar for salt,ingredient_substitution
can i substitute apple juice for wine,ingredient_substitution
can i use baking powder instead of baking soda,ingredient_substitution
is crushed garlic the same as powdered garlic for a spaghetti sauce,ingredient_substitution
is it okay to switch water for milk,ingredient_substitution
is it ok to sub sugar for salt,ingredient_substitution
can i exchange milk for cream in recipes,ingredient_substitution
what about changing the sugar for baking soda,ingredient_substitution
can i substitute rice milk for milk,ingredient_substitution
"in terms of making scrambled eggs, what ingredients do i need",ingredients_list
what ingredients do i need to make broccoli cheddar soup,ingredients_list
what ingredients are in salsa,ingredients_list
what ingredients do i need to make salmon salad,ingredients_list
what ingredients are necessary for a steak,ingredients_list
"i am making broccoli cheddar soup, what ingredients do i need",ingredients_list
give me a list of ingredients needed for pizza dough,ingredients_list
what ingredients are in mashed potatoes,ingredients_list
what ingredients are required for chicken noodle soup,ingredients_list
i’m making spaghetti what ingredients do i need,ingredients_list
what are my insurance perks,insurance
what benefits do i get from insurance,insurance
what are my insurance advantages,insurance
i need to know my health benefits,insurance
what are my insurance rewards,insurance
how do i know my insurance benefits,insurance
what insurance benefits do i have,insurance
do i have many health benefits,insurance
what health benefits can i use,insurance
i need you to tell me what benefits are included in my insurance,insurance
"i need to get new insurance, how do i do it",insurance_change
switch my insurance plan to a new one,insurance_change
what do i do to get new insurance,insurance_change
i would like to get a new insurance plan,insurance_change
i want a new motorcycle insurance plan,insurance_change
walk me through making changes to my insurance policy,insurance_change
how can i obtain new insurance,insurance_change
how to create a new aaa insurance plan,insurance_change
i would like to switch my insurance plan,insurance_change
is new this a good insurance plan for me,insurance_change
how percentage am i earning annually on my account,interest_rate
what is the interest rate on my chase slate credit card,interest_rate
will you tell me the interest rate,interest_rate
check the interest rate on my savings account,interest_rate
how much is the interest rate for the account i have at bluebird,interest_rate
can you tell me my interest rate,interest_rate
what is the interest rate on my capital one credit card,interest_rate
what is the interest rate on my barclay card arrival credit card,interest_rate
is my savings interest rate too low,interest_rate
could you find my interest rate for me,interest_rate
are there any transaction fees associated with my navy federal card if i am in japan,international_fees
does my navy federal card have international transaction fees,international_fees
will i be charged if i use my card in france,international_fees
do i need to pay any fee if i use my card in japan,international_fees
does my bank of the west card have international transaction fees,international_fees
i need to know if there are transaction fees for my visa card in canada,international_fees
what is the surcharge for using my card in italy while i visit,international_fees
does my chase card have international transaction fees,international_fees
will i get a fee for international transactions with my visa card,international_fees
are there any transaction fees associated with my chase card if i am in tokyo,international_fees
is a visa required to visit cancun,international_visa
do i need a visa to go to greece,international_visa
do i need to get a visa for traveling to chile,international_visa
do i need to apply for a travel visa if i am going to bermuda,international_visa
"for travel to argentina, do i need to get a travel visa",international_visa
do i need a visa to go there,international_visa
will i have to apply for a visa if i want to visit mexico,international_visa
do i need an international visa to go to england,international_visa
israel has strict restrictions do i need a visa to travel there,international_visa
do i need a travel visa to visit japan,international_visa
what is the procedure to jump start a car,jump_start
how do i properly give my car a jump,jump_start
what do i do if my car battery is dead,jump_start
guide me through jump starting a car,jump_start
whats the safest way to jump start a car,jump_start
how do you jump a car with a dead battery,jump_start
how do i jump my car,jump_start
how do you jump start a car,jump_start
i need rules for jump starting,jump_start
what can i do since my car battery died,jump_start
what date did i last take my car in,last_maintenance
when did i last take my car in for maintenance,last_maintenance
how long has it been since my car was last looked at,last_maintenance
how long has it been since my oil was changed,last_maintenance
you need to tell me when was car in shop,last_maintenance
look up the date of my last oil change,last_maintenance
i need to know when i last carried my car to the shop,last_maintenance
when did i most recently have my car in the shop,last_maintenance
when did i last have car maintenance,last_maintenance
i need to know when was the last time i had my car checked out for a tune up,last_maintenance
who do i complain to about my luggage not arriving at the airport,lost_luggage
in o'hare lost luggage on flight america airlines,lost_luggage
what is the next step if my luggage was lost,lost_luggage
"i need assistance with my lost luggage, i was on american airlines ab123 out of talahasse",lost_luggage
i don't know where my luggage is,lost_luggage
what's the procedure to deal with lost luggage,lost_luggage
find me the number for jet blue's customer service so i can yell at someone about my missing luggage,lost_luggage
"i can't locate my luggage, i was on jetblue flight ab123 out of detroit",lost_luggage
i believe that my luggage was lost,lost_luggage
do you know where the luggage for people on panam flight ab123 out of tuscon is,lost_luggage
can you redial the last number dialed,make_call
get a hold of sue,make_call
can you please call nata,make_call
i need to talk to someone on the phone,make_call
call someone,make_call
it's time for me to call drew,make_call
please dial david now,make_call
call mark,make_call
can i call a restaurant,make_call
phone call secretary,make_call
how is the weather today,maybe
i'm not sure,maybe
it could be that one or the other one,maybe
i dont know,maybe
"one or the other, or both",maybe
both would work,maybe
i don't have the answer,maybe
i don't really know,maybe
i really don't have a clue,maybe
that answer's above my pay scale,maybe
suggest a meal from korea to me,meal_suggestion
suggest food from italy to me,meal_suggestion
what thoughts do you have about making dinnner tonight,meal_suggestion
i need you to give me a suggestion for what to make for dinner,meal_suggestion
suggest a good mexican meal to me,meal_suggestion
do you have any suggestions as to what i should cook for dinner,meal_suggestion
can you give me a vietnamese meal suggestion,meal_suggestion
i want an italian meal suggestion,meal_suggestion
suggest a meal from thailand to me,meal_suggestion
please suggest meals from italy to me,meal_suggestion
is love the meaning of life,meaning_of_life
what is the meaning of my life,meaning_of_life
does my life have meaning,meaning_of_life
say what the meaning of life is,meaning_of_life
what do you think the meaning of life is,meaning_of_life
what's life's meaning,meaning_of_life
is there really a meaning of life,meaning_of_life
i gotta know the meaning of life,meaning_of_life
research the meaning of life,meaning_of_life
i must know the point of life,meaning_of_life
what is the conversion of inches to centimeters,measurement_conversion
how can i change centimeters into inches,measurement_conversion
how many miles is five kilometers,measurement_conversion
how many inches and centimeters would i need if i had 10 feet of something,measurement_conversion
"what is 10 ounces in grams, please",measurement_conversion
tell me how to convert grams into ounces,measurement_conversion
how do you convert pounds to kilos,measurement_conversion
convert inch to cm,measurement_conversion
how many meters are in 10 millimeters,measurement_conversion
how many meters are in 50 feet,measurement_conversion
am i scheduled for any meetings between noon and one,meeting_schedule
when is that meeting with kara,meeting_schedule
how many total meetings will i have between 2 and 5,meeting_schedule
about how many meetings am i attending between 12 and 3 today,meeting_schedule
do i have any meetings with michael today,meeting_schedule
when is the meeting with homer scheduled for,meeting_schedule
on what day is my meeting with dr lee,meeting_schedule
what meetings are on my calendar,meeting_schedule
how many meetings do i have scheduled between 10 and 3,meeting_schedule
i need to know if i have any meetings scheduled for today,meeting_schedule
what is the minimum i can pay for my light bill,min_payment
what's the minimum i can pay on my sewer bill,min_payment
i need to know the bill's minimum payment,min_payment
minimum to pay on power bill,min_payment
please inform me of the minimum payment of the bill,min_payment
please tell me the bill's minimum payment,min_payment
what is the minimum i can pay for the gas bill,min_payment
what is the minimum i can pay for my phone bill,min_payment
i would like to know the minimum payment for my credit card,min_payment
show me the minimum payment for my boat bill,min_payment
how far can i go on one tank of gas,mpg
does this car get good mpg on the highway,mpg
what is the city mpg for this car,mpg
how does this cars mpg do on the highway,mpg
tell me what this cars highway mpg is,mpg
tell me my car's fuel economy,mpg
how much highway mpg does it get,mpg
how good is the fuel usage for this vehicle,mpg
what is the mpg on this car,mpg
what is the highway mpg on this car,mpg
apply for a bank of america travel rewards credit card,new_card
how can i apply for a discover card,new_card
show me how to apply for a visa card,new_card
is this how i apply for a discover card,new_card
