,sentence,label,Unnamed: 2
127,I ask a number of question to the bot but the query is not answered can you connect to Agent,chat_with_an_agent,
128,Why it is showing wrong balance,chat_with_an_agent,
129,I do not need chat agent,chat_with_an_agent,
130,Did not receive my bonus,chat_with_an_agent,
131,Did not receive my sign up amount,chat_with_an_agent,
132,Didn't receive money with my referrals,chat_with_an_agent,
133,Did not receive my winnings,winnings,Earlier was CHAT_WITH_AN_AGENT
134,Did not receive my amount,winnings,Earlier was CHAT_WITH_AN_AGENT
135,Winnings,winnings,
136,Please give my winning money,winnings,
137,I want money,winnings,
138,Winning amount,winnings,
139,Winning price,winnings,
140,Winning amount cant add,winnings,
141,My winnings,winnings,
142,When Are the Winnings Distributed on PowerPlay11,winnings,Earlier was WHEN_WINNINGS_DISTRIBUTED
143,Winnings amount not credited,winnings,Earlier was WHEN_WINNINGS_DISTRIBUTED
144,When will I get the winning amount,winnings,Earlier was WHEN_WINNINGS_DISTRIBUTED
145,Why is my amount not credited,winnings,Earlier was WHEN_WINNINGS_DISTRIBUTED
146,When will I receiev my winning amount,winnings,Earlier was WHEN_WINNINGS_DISTRIBUTED
147,Please transfer winnings fast,withdrawal_time,Earlier was WITHDRAWAL_TIME
148,I havent received the winning amount,withdrawal_time,Earlier was WITHDRAWAL_TIME
149,Instant Withdrawal,instant_withdrawal,
150,Instant withdrawal is available,instant_withdrawal,
151,When Instant withdrawal available,instant_withdrawal,
152,Instant withdrawal Not available,instant_withdrawal,
153,What is instant withdrawal,instant_withdrawal,
154,Instant withdrawal needed,instant_withdrawal,
155,Fast withdrawalIs there fast withdrawal,instant_withdrawal,
156,Is there instant withdrawal,instant_withdrawal,
157,Is instant withdrawal available,instant_withdrawal,
158,Fast withdrawal available,instant_withdrawal,
159,Check withdrawal status,withdrawal_status,
160,I want to view my withdrawal status,withdrawal_status,
161,Show my withdrawal status,withdrawal_status,
162,List all the withdrawal,withdrawal_status,
163,Withdrawal Status,withdrawal_status,
164,Withdrawal statements,withdrawal_status,
165,Withdrawal statement,withdrawal_status,
166,I have withdrawn some money four days back from the wallet how do I check the amount I have withdrawn,withdrawal_status,
167,Check Earlier withdrawal,withdrawal_status,
168,Withdrawn status for my account,withdrawal_status,
169,Status of withdrawal,withdrawal_status,
170,I want to check my withdrawal status,withdrawal_status,
171,Open withdrawal status,withdrawal_status,
172,My status was not updated can you show me the withdrawal status now,withdrawal_status,
173,Since last year I did not played any game on this however I have 2000 balance in my account now it is showing 998 would you show me the withdrawal transactions,withdrawal_status,
174,I was travelling I dont have cash I need to withdraw some money from app would you tell me withdrawal status,withdrawal_status,
175,PAN Card verification failed,pan_verification_failed,
176,PAN verification failed,pan_verification_failed,
177,Getting error while verifying PAN Card,pan_verification_failed,
178,How Are Points Calculated on PowerPlay11,how_points_calculated,
179,Change My Bank Account,change_bank_account,
180,How to change Bank account,change_bank_account,
181,Change My Profile or Team Details,change_profile_team_details,
182,Update My Profile/Team Details,change_profile_team_details,
183,Update My Profile,change_profile_team_details,
184,Update my Team Details,change_profile_team_details,
185,Change profile name,change_profile_team_details,
186,How to change profile name?,change_profile_team_details,
187,Can I change my profile name,change_profile_team_details,
188,Change My Team,change_profile_team_details,
189,Can I Change my team name on PowerPlay11?,change_profile_team_details,
190,How can I change my team name,change_profile_team_details,
191,Change team name,change_profile_team_details,
192,Edit team name,change_profile_team_details,
193,Modify mobile number,change_mobile_number,
194,Change phone number,change_mobile_number,
195,Change mobile number,change_mobile_number,
196,Edit mobile number,change_mobile_number,
197,My mobile no. change,change_mobile_number,
198,Help me to change mobile number,change_mobile_number,
199,Help me to edit my mobile number,change_mobile_number,
200,Help me with changing my mobile number,change_mobile_number,
201,I want to change my number,change_mobile_number,
202,How can I Change my mobile number,change_mobile_number,
203,Taxes on Winnings,taxes_on_winnings,
204,Are there any taxes associated with withdrawals,taxes_on_winnings,
205,Tax deduction,taxes_on_winnings,
206,How much tax will be deducted,taxes_on_winnings,
207,How much tax to pay,taxes_on_winnings,
208,Am I supposed to pay tax,taxes_on_winnings,
209,Tax on winning,taxes_on_winnings,
210,Do I need to pay tax for winning,taxes_on_winnings,
211,Liable tax,taxes_on_winnings,
212,Fake teams,fake_teams,
213,You have your own team in the leagues,fake_teams,
214,Fake players,fake_teams,
215,Fraud,fake_teams,
216,Fake users,fake_teams,
217,Not genuine,fake_teams,
218,Cheating,fake_teams,
219,You have your own teams in matches/leagues,fake_teams,
220,Why leagues get full in the last moment,fake_teams,
221,Office Own team,fake_teams,
222,Fraud team,fake_teams,
223,Why in last 2-3 minutes leagues get full,fake_teams,
224,Why I haven't received any email confirmation link,no_email_confirmation,
225,No Email Confirmation,no_email_confirmation,
226,Why I haven't received any email confirmation link,no_email_confirmation,
227,When will I receive email confirmation,no_email_confirmation,
228,No Email Confirmation,no_email_confirmation,
229,Didn't get email confirmation,no_email_confirmation,
230,Withdraw Cash Bonus,withdraw_cash_bonus,
231,Cash Bonus Expiry,cash_bonus_expiry,
232,Cash Bonus,cash_bonus,
233,Types of Bonus,types_bonus,
234,What is the difference between sign-up bonus and cash bonus,types_bonus,
235,"What is difference between Cash Bonus, signup bonus, surprise bonus, winnings",types_bonus,
236,Daily Bonus,types_bonus,
237,Surprise bonus,types_bonus,
238,I want to know about bonus,types_bonus,
239,What is the deadline for a match on PowerPlay11?,team_deadline,
240,Team Deadline for Match,team_deadline,
241,What is Safe Play & Regular Play,team_deadline,
242,Difference between safe play and regular play,team_deadline,
243,Regular Play,team_deadline,
244,What is safe play,team_deadline,
245,How many playing mode,team_deadline,
246,Safe Play,team_deadline,
247,Playing Mode,team_deadline,
248,Benefit of safe play,team_deadline,
249,What is the regular play,team_deadline,
250,match deadline,team_deadline,
251,What is the deadline of Safe play,team_deadline,
252,Safe mode editing,team_deadline,
253,What is the deadline to edit team in safe play,team_deadline,
254,Can I edit team in safe play,team_deadline,
255,Edit safe play,team_deadline,
256,Account Not Verified,account_not_verified,
257,How to Verify my Account?,account_not_verified,
258,Account Verification,account_not_verified,
259,How to Get Account Verified,account_not_verified,
260,I am unable to verify my account,account_not_verified,
261,Verify my account,account_not_verified,
262,Verify account,account_not_verified,
263,Need to Verify my account,account_not_verified,
264,Why do I Need to Verify my Account,why_verify,
265,Why do I need to Verify,why_verify,
266,Is it important to verify my account,why_verify,
267,Why should I verify,why_verify,
268,What is the use of account verification,why_verify,
269,Do I need to verify my account,why_verify,
270,Why to Verify Account?,why_verify,
271,Contests,types_contests,
272,Types of Contests,types_contests,
273,How to Verify my email address,verify_email,
274,Verify Email,verify_email,
275,How to verify email,verify_email,
276,How to verify email ID,verify_email,
277,Verify my email address,verify_email,
278,Email needs to be verified,verify_email,
279,Verify email ID,verify_email,
280,Email not verified,verify_email,
281,Email verification,verify_email,
282,Send email verification link,verify_email,
283,Verify my email,verify_email,
284,I want to verify email,verify_email,
285,Let me verify email,verify_email,
286,Verify PAN Card,verify_pan,
287,How to verify my PAN Card?,verify_pan,
288,Pan card verification,verify_pan,
289,What's the process to verify PAN card,verify_pan,
290,Verify my PAN card,verify_pan,
291,How do I verify my PAN,verify_pan,
292,Process for PAN card verification,verify_pan,
293,How to verify my mobile number,verify_mobile,
294,Verify Mobile Number,verify_mobile,
295,How should I verify my mobile number,verify_mobile,
296,Mobile number verification,verify_mobile,
297,How do I verify mobile number,verify_mobile,
298,What is the process to verify my mobile,verify_mobile,
299,Want to verify mobile number,verify_mobile,
300,What should I do to verify my mobile number,verify_mobile,
301,Need to verify my mobile number,verify_mobile,
302,Account reset,account_reset,
303,PowerPlay11 account reset,account_reset,
304,How to reset account,account_reset,
305,Reset my account,account_reset,
306,What happens in case there is a tie,what_if_theres_a_tie,
307,And if there is a tie,what_if_theres_a_tie,
308,How to solve tie issue,what_if_theres_a_tie,
309,Same score between two players,what_if_theres_a_tie,
310,"In case of tie, what happens ",what_if_theres_a_tie,
311,What if it is a tie?,what_if_theres_a_tie,
312,What if we have a tie?,what_if_theres_a_tie,
313,What if there's a tie?,what_if_theres_a_tie,
314,If there is a tie between two users in quiz,what_if_theres_a_tie,
315,Cannot See Joined Contests,cannot_see_joined_contests,
316,Why can I not see my joined leagues,cannot_see_joined_contests,
317,What is the meaning of C infront a league,cannot_see_joined_contests,
318,What is the meaning of M infront a league,cannot_see_joined_contests,
319,C icon,cannot_see_joined_contests,
320,M icon,cannot_see_joined_contests,
321,Contest Cancellation,cannot_see_joined_contests,
322,My contest does not show,cannot_see_joined_contests,
323,I joined a league but now it's not showing,cannot_see_joined_contests,
324,League joined but not showing,cannot_see_joined_contests,
325,Amount deducted but showing no league joined,cannot_see_joined_contests,
326,Fairplay Violation,fairplay_violations,
327,What is considered as FairPlay Violation on PowerPlay11?,fairplay_violations,
328,Fairplay rules,fairplay_violations,
329,Violation rules,fairplay_violations,
330,How my play will be consider as fair,fairplay_violations,
331,Fair play rules,fairplay_violations,
332,Points not updated,points_not_updated,
333,Points Delay,points_not_updated,
334,Player points not updated,points_not_updated,
335,Update points fast,points_not_updated,
336,Points update,points_not_updated,
337,Points for Match name not updated,points_not_updated,
338,Points are not getting updated,points_not_updated,
339,Match name points not updated,points_not_updated,
340,Player name points not updated,points_not_updated,
341,Please update match points,points_not_updated,
342,Match results still pending,points_not_updated,
343,When are the scores updated on PowerPlay11,points_not_updated,Earlier was WHEN_SCORES_UPDATED
344,When Are the Scores Updated,points_not_updated,Earlier was WHEN_SCORES_UPDATED
345,When will scores be updated,points_not_updated,Earlier was WHEN_SCORES_UPDATED
346,When will points get updated,points_not_updated,Earlier was WHEN_SCORES_UPDATED
347,What if a game is completed with wrong scores?,wrong_scores,Doubtful about this NODE
348,Want to know how my Account Balance can get Deducted,account_balance_deducted,
349,Account Balance Deducted,account_balance_deducted,
350,How is account balance deducted,account_balance_deducted,
351,Account balance deducted from my wallet after joining the contest,account_balance_deducted,
352,Account balance deducted flow,account_balance_deducted,
353,Account Balance Deducted,account_balance_deducted,
354,Amount  balance deducted but when,account_balance_deducted,
355,Account Balance deducted would you describe the reason,account_balance_deducted,
356,Why money is debited from my account?,account_balance_deducted,
357,When PowerPlay11 go for account balance deduction,account_balance_deducted,
358,What is cycle of account balance deduction,account_balance_deducted,
359,Signup Bonus,signup_bonus,
360,How to Play,how_to_play,
361,How Can I Play on PowerPlay11,how_to_play,
362,Teach me to play,how_to_play,
363,I need help to play,how_to_play,
364,Guidelines to play,how_to_play,
365,I don't know how to play,how_to_play,
366,Can you help me to play,how_to_play,
367,How to delete PAN card,delete_pan_card,
368,I want to change my PAN,delete_pan_card,
369,Pan card remove,delete_pan_card,
370,remove PAN card,delete_pan_card,
371,Delete PAN card,delete_pan_card,
372,I want to delete my pan card,delete_pan_card,
373,Wallet Balance,check_wallet_balance,
374,Show my wallet balance,check_wallet_balance,
375,How much amount are left in my wallet balance,check_wallet_balance,
376,Is there is money in my wallet,check_wallet_balance,
377,I want to see my wallet balance,check_wallet_balance,
378,Show my wallet balance,check_wallet_balance,
379,I was surfing with the PowerPlay11 website now I thought I should play it would you let me know my balance,check_wallet_balance,
380,"I went england, I want to check my balance",check_wallet_balance,
381,Money left in my wallet,check_wallet_balance,
382,Check my wallet balance,check_wallet_balance,
383,Show my balance,check_wallet_balance,
384,Show my bonus,check_wallet_balance,
385,Show my winnings,check_wallet_balance,
386,Money in my wallet,check_wallet_balance,
387,Unutilized,unutilized_money,
388,Unutilized Amount,unutilized_money,
389,What is the new team format,new_team_pattern,
390,How many bolwers I can select,new_team_pattern,
391,What is the new team pattern,new_team_pattern,
392,How many all-rounder I can select,new_team_pattern,
393,I want to know about new team format,new_team_pattern,
394,How many wicket keeper I can select,new_team_pattern,
395,I want to know more about team pattern,new_team_pattern,
396,How many all rounder I can select,new_team_pattern,
397,How many battsman I can select,new_team_pattern,
398,Thanks a lot,thanks,
399,Tysm,thanks,
400,Thank,thanks,
401,Thanks,thanks,
402,Thanxs,thanks,
403,Thank you,thanks,
404,How can you help me,capabilities,
405,Help me,capabilities,
406,What can you do for me,capabilities,
407,Other Queries,capabilities,
408,Can you help me with something else,capabilities,
409,Help needed,capabilities,
410,Help required,capabilities,
411,What else can you help me with,capabilities,
412,I have other queries,capabilities,
413,You are amazing,appreciation,
414,Appreciate it,appreciation,
415,Good job,appreciation,
416,I like your service,appreciation,
417,You are the best,appreciation,
418,Good service,appreciation,
419,Great service,appreciation,
420,Great job,appreciation,
421,Great App,appreciation,
422,What if amount is debited from account but not added on PowerPlay11?,deducted_amount_not_received,
423,Amount is not received on PowerPlay11 even though debited from account,deducted_amount_not_received,
424,Deducted Amount But Not Received,deducted_amount_not_received,
425,Money got debited from bank account but not added to the wallet?,deducted_amount_not_received,
426,My money was deducted from my account but not showing the amount added. What should I do?,deducted_amount_not_received,
427,Amount debited from my account but not added to my wallet,deducted_amount_not_received,
428,What if a match is abandoned?,match_abandoned,
429,If match get abandoned will I get refund,match_abandoned,
430,Match Abandoned,match_abandoned,
431,Are You Online,presence,
432,Are you there,presence,
433,Why is my winning amount less than mentioned in Prize list for my rank?,less_winnings_amount,May conflict with CHAT_WITH_AN_AGENT
434,Why My Winning Amount is Low,less_winnings_amount,May conflict with CHAT_WITH_AN_AGENT
435,How to download app,download_powerplay11,
436,Download app,download_powerplay11,
437,How to download PowerPlay11,download_powerplay11,
438,You are horrible,criticism,
439,You are dumb,criticism,
440,You are stupid,criticism,
441,Bad Service,criticism,
442,Waste app,criticism,
443,Hey,greetings_day,
444,Hello,greetings_day,
445,Hi,greetings_day,
446,Yes Can you help,greetings_day,
447,Yes,greetings_day,
448,Good afternoon,greetings_day,
449,Good Morning,greetings_day,
450,Good night,greetings_day,
451,Good evening,greetings_day,
452,Good day,greetings_day,
453,Goodnight,greetings_day,
454,Goodafternoon,greetings_day,
455,Ya,greetings_day,
456,Can you share your number,contact_number,
457,Contact Details,contact_number,
458,Contact me,contact_number,
459,Call me back,contact_number,
460,Support number,contact_number,
461,I want to know your contact number,contact_number,
462,Help me with your contact number,contact_number,
463,What is your contact number,contact_number,
464,Share contact number,contact_number,
465,Customer care number,contact_number,
466,Can I get your contact number,contact_number,
467,Call back,contact_number,
468,How to update the app,update_app,
469,Feedback,feedback,
470,I want to give feedback,feedback,
